Time,Latitude (Deg),Longitude (Deg),Altitude (m),Heart Rate (bpm),Speed (km/h),Vibrations,Route Num
2019-09-05T07:02:40Z,,,,,,,7
2019-09-05T07:02:41Z,,,,104,7.36,,7
2019-09-05T07:02:43Z,-27.472359,153.184042,,105,7.36,,7
2019-09-05T07:02:45Z,-27.472359,153.184042,0,104,7.36,,7
2019-09-05T07:02:47Z,-27.472347,153.184067,0,107,8.18,,7
2019-09-05T07:02:49Z,-27.472328,153.184098,0,108,8.88,,7
2019-09-05T07:02:51Z,-27.472296,153.184131,0,112,8.76,,7
2019-09-05T07:02:53Z,-27.472253,153.184164,1,117,10.78,,7
2019-09-05T07:02:55Z,-27.472203,153.184195,1,117,10.71,,7
2019-09-05T07:02:57Z,-27.47215,153.184219,1,117,11.19,,7
2019-09-05T07:02:59Z,-27.472092,153.184238,1,117,11.52,,7
2019-09-05T07:03:01Z,-27.472029,153.184248,1,116,11.5,,7
2019-09-05T07:03:03Z,-27.47197,153.18425,1,116,11.4,,7
2019-09-05T07:03:05Z,-27.471912,153.18424,1,116,11.44,,7
2019-09-05T07:03:07Z,-27.471856,153.184214,1,117,11.23,,7
2019-09-05T07:03:09Z,-27.471806,153.184181,1,116,10.87,,7
2019-09-05T07:03:11Z,-27.471764,153.184147,1,115,10.49,,7
2019-09-05T07:03:13Z,-27.471725,153.184115,2,116,10.29,,7
2019-09-05T07:03:15Z,-27.471679,153.18409,2,117,10.04,,7
2019-09-05T07:03:17Z,-27.471625,153.184092,2,117,9.86,,7
2019-09-05T07:03:19Z,-27.471625,153.184092,2,117,9.87,,7
2019-09-05T07:03:21Z,-27.471565,153.184131,2,118,9.94,,7
2019-09-05T07:03:23Z,-27.471503,153.184194,2,120,10.06,,7
2019-09-05T07:03:25Z,-27.47145,153.184264,2,120,10.12,,7
2019-09-05T07:03:27Z,-27.471414,153.18432,2,122,0,,7
2019-09-05T07:03:29Z,,,2,124,0,,7
2019-09-05T07:03:31Z,,,2,123,0,,7
2019-09-05T07:03:33Z,-27.471404,153.184355,2,123,0,,7
2019-09-05T07:03:35Z,-27.471404,153.184355,2,123,5.59,,7
2019-09-05T07:03:37Z,-27.471403,153.184377,2,124,6.25,,7
2019-09-05T07:03:39Z,-27.471394,153.184405,1,127,6.03,,7
2019-09-05T07:03:41Z,-27.471376,153.184453,1,127,5.82,,7
2019-09-05T07:03:43Z,-27.471353,153.184512,2,126,5.79,,7
2019-09-05T07:03:45Z,-27.471329,153.184573,2,127,10.55,,7
2019-09-05T07:03:47Z,-27.471305,153.184634,2,128,11.03,,7
