Time,Latitude (Deg),Longitude (Deg),Altitude (m),Heart Rate (bpm),Speed (km/h),Vibrations,Route Num
2019-09-19T18:55:37Z,,,,,,,2
2019-09-19T18:55:38Z,,,,58,,,2
2019-09-19T18:55:40Z,,,,58,,,2
2019-09-19T18:55:42Z,,,14,59,,,2
2019-09-19T18:55:44Z,,,14,60,6.1,,2
2019-09-19T18:55:46Z,-27.472496,153.183618,14,60,6.1,,2
2019-09-19T18:55:48Z,-27.472491,153.183636,14,60,6.1,,2
2019-09-19T18:55:50Z,-27.47249,153.183659,14,60,6.1,,2
2019-09-19T18:55:52Z,-27.47249,153.183659,14,59,5.96,,2
2019-09-19T18:55:54Z,-27.472489,153.183692,14,59,5.83,,2
2019-09-19T18:55:56Z,-27.472488,153.183727,13,59,5.61,,2
2019-09-19T18:55:58Z,-27.472485,153.183762,13,59,5.56,,2
2019-09-19T18:56:00Z,-27.472484,153.183795,14,64,5.43,,2
2019-09-19T18:56:02Z,-27.472486,153.183824,14,67,5.39,,2
2019-09-19T18:56:04Z,-27.472486,153.183824,14,69,5.39,,2
2019-09-19T18:56:06Z,-27.472487,153.183853,13,70,5.41,,2
2019-09-19T18:56:08Z,-27.472483,153.183885,13,70,5.43,,2
2019-09-19T18:56:10Z,-27.472475,153.183923,13,69,5.4,,2
2019-09-19T18:56:12Z,-27.472468,153.183958,13,69,5.38,,2
2019-09-19T18:56:14Z,-27.472462,153.18399,13,69,5.35,,2
2019-09-19T18:56:16Z,-27.472462,153.18399,12,69,5.33,,2
2019-09-19T18:56:18Z,-27.472454,153.184022,12,70,5.33,,2
2019-09-19T18:56:20Z,-27.47245,153.184056,11,70,5.33,,2
2019-09-19T18:56:22Z,-27.472451,153.184089,11,71,5.35,,2
2019-09-19T18:56:24Z,-27.47246,153.184124,11,71,5.35,,2
2019-09-19T18:56:26Z,-27.47246,153.184124,11,72,5.35,,2
2019-09-19T18:56:28Z,-27.472472,153.184151,11,73,5.35,,2
2019-09-19T18:56:30Z,-27.472488,153.184173,11,72,5.4,,2
2019-09-19T18:56:32Z,-27.472505,153.184198,11,72,5.4,,2
2019-09-19T18:56:34Z,-27.472524,153.184231,11,72,5.51,,2
2019-09-19T18:56:36Z,-27.472543,153.184264,11,72,5.51,,2
2019-09-19T18:56:38Z,-27.472543,153.184264,11,72,5.51,,2
2019-09-19T18:56:40Z,-27.47256,153.184297,10,72,5.66,,2
2019-09-19T18:56:42Z,-27.47257,153.18432,10,72,5.66,,2
2019-09-19T18:56:44Z,-27.472576,153.184321,10,72,5.66,,2
2019-09-19T18:56:46Z,-27.472591,153.184306,10,71,5.42,,2
2019-09-19T18:56:48Z,-27.47262,153.184283,10,72,5.42,,2
2019-09-19T18:56:50Z,-27.47262,153.184283,10,72,5.42,,2
2019-09-19T18:56:52Z,-27.472656,153.184256,10,72,5.55,,2
2019-09-19T18:56:54Z,-27.472696,153.184225,10,72,5.55,,2
2019-09-19T18:56:56Z,-27.472742,153.184191,10,72,5.55,,2
2019-09-19T18:56:58Z,-27.472792,153.184159,10,74,5.86,,2
2019-09-19T18:57:00Z,-27.47284,153.184129,10,75,5.86,,2
2019-09-19T18:57:02Z,-27.47284,153.184129,10,77,5.86,,2
2019-09-19T18:57:04Z,-27.472875,153.184102,10,77,6.21,,2
2019-09-19T18:57:06Z,-27.472901,153.184076,10,80,6.21,,2
2019-09-19T18:57:08Z,-27.472921,153.184051,10,81,6.21,,2
2019-09-19T18:57:10Z,-27.472939,153.184023,10,81,6.36,,2
2019-09-19T18:57:12Z,-27.472957,153.183994,10,81,6.36,,2
2019-09-19T18:57:14Z,-27.472957,153.183994,10,80,6.36,,2
2019-09-19T18:57:16Z,-27.472985,153.183965,10,80,6.35,,2
2019-09-19T18:57:18Z,-27.473027,153.183935,10,80,6.35,,2
2019-09-19T18:57:20Z,-27.473074,153.183899,10,82,6.35,,2
2019-09-19T18:57:22Z,-27.473124,153.183865,10,83,6.39,,2
2019-09-19T18:57:24Z,-27.473176,153.183835,10,83,6.39,,2
2019-09-19T18:57:26Z,-27.473176,153.183835,10,85,6.39,,2
2019-09-19T18:57:28Z,-27.473224,153.183808,10,87,6.55,,2
2019-09-19T18:57:30Z,-27.47326,153.18378,10,87,6.55,,2
2019-09-19T18:57:32Z,-27.473289,153.183753,10,87,6.7,,2
2019-09-19T18:57:34Z,-27.473322,153.183724,10,87,6.7,,2
2019-09-19T18:57:36Z,-27.473322,153.183724,10,87,6.7,,2
2019-09-19T18:57:38Z,-27.47336,153.183693,10,88,6.53,,2
2019-09-19T18:57:40Z,-27.473402,153.183661,10,87,6.53,,2
2019-09-19T18:57:42Z,-27.473443,153.183633,10,88,6.53,,2
2019-09-19T18:57:44Z,-27.47348,153.183606,10,88,6.46,,2
2019-09-19T18:57:46Z,-27.473517,153.183579,10,88,6.46,,2
2019-09-19T18:57:48Z,-27.473517,153.183579,10,88,6.46,,2
2019-09-19T18:57:50Z,-27.473548,153.18356,10,88,6.59,,2
2019-09-19T18:57:52Z,-27.473575,153.183555,10,88,6.59,,2
2019-09-19T18:57:54Z,-27.473605,153.183557,10,89,6.59,,2
2019-09-19T18:57:56Z,-27.473639,153.183561,10,89,6.61,,2
2019-09-19T18:57:58Z,-27.47368,153.183567,10,84,6.61,,2
2019-09-19T18:58:00Z,-27.47368,153.183567,10,76,6.61,,2
2019-09-19T18:58:02Z,-27.473729,153.183562,10,73,7.24,,2
2019-09-19T18:58:04Z,-27.473781,153.183549,10,72,7.89,,2
2019-09-19T18:58:06Z,-27.473832,153.183531,10,70,8.25,,2
2019-09-19T18:58:08Z,-27.473878,153.183504,10,70,8.25,,2
2019-09-19T18:58:10Z,-27.473921,153.183475,10,71,7.96,,2
2019-09-19T18:58:12Z,-27.473921,153.183475,10,72,7.7,,2
2019-09-19T18:58:14Z,-27.473961,153.183446,10,72,7.34,,2
2019-09-19T18:58:16Z,-27.473997,153.183418,10,72,7.3,,2
2019-09-19T18:58:18Z,-27.474033,153.183389,10,74,7.14,,2
2019-09-19T18:58:20Z,-27.474067,153.183359,10,74,7.07,,2
2019-09-19T18:58:22Z,-27.474101,153.183332,10,76,7.05,,2
2019-09-19T18:58:24Z,-27.474101,153.183332,10,78,7.01,,2
2019-09-19T18:58:26Z,-27.474136,153.183304,10,77,6.99,,2
2019-09-19T18:58:28Z,-27.474169,153.183275,10,78,6.97,,2
2019-09-19T18:58:30Z,-27.474202,153.183246,10,78,6.96,,2
2019-09-19T18:58:32Z,-27.474234,153.183215,10,79,6.96,,2
2019-09-19T18:58:34Z,-27.474234,153.183215,10,79,6.96,,2
2019-09-19T18:58:36Z,-27.474269,153.183186,10,80,6.97,,2
2019-09-19T18:58:38Z,-27.474307,153.183159,10,80,6.97,,2
2019-09-19T18:58:40Z,-27.474347,153.183129,10,80,6.98,,2
2019-09-19T18:58:42Z,-27.474347,153.183129,10,78,7.01,,2
2019-09-19T18:58:44Z,-27.474386,153.1831,10,78,7.04,,2
2019-09-19T18:58:46Z,-27.474423,153.183071,10,79,7.14,,2
2019-09-19T18:58:48Z,-27.474458,153.183044,10,79,7.18,,2
2019-09-19T18:58:50Z,-27.474494,153.183026,10,79,7.18,,2
2019-09-19T18:58:52Z,-27.474494,153.183026,10,80,7.18,,2
2019-09-19T18:58:54Z,-27.474531,153.183023,10,80,7.19,,2
2019-09-19T18:58:56Z,-27.47457,153.18303,10,82,7.19,,2
2019-09-19T18:58:58Z,-27.47461,153.183041,10,82,7.19,,2
2019-09-19T18:59:00Z,-27.474646,153.183052,10,83,7.07,,2
2019-09-19T18:59:02Z,-27.474646,153.183052,10,83,7.07,,2
2019-09-19T18:59:04Z,-27.474682,153.183063,10,83,7.07,,2
2019-09-19T18:59:06Z,-27.474718,153.183076,10,84,6.91,,2
2019-09-19T18:59:08Z,-27.474761,153.183087,10,84,6.91,,2
2019-09-19T18:59:10Z,-27.474761,153.183087,10,84,6.91,,2
2019-09-19T18:59:12Z,-27.474807,153.183097,10,85,6.83,,2
2019-09-19T18:59:14Z,-27.474859,153.183107,10,85,6.83,,2
2019-09-19T18:59:16Z,-27.474908,153.183118,10,85,6.83,,2
2019-09-19T18:59:18Z,-27.474953,153.183129,10,85,6.79,,2
2019-09-19T18:59:20Z,-27.474953,153.183129,10,86,6.79,,2
2019-09-19T18:59:22Z,-27.474997,153.18314,10,86,6.79,,2
2019-09-19T18:59:24Z,-27.47503,153.183159,10,86,6.79,,2
2019-09-19T18:59:26Z,-27.475055,153.183189,10,87,6.79,,2
2019-09-19T18:59:28Z,-27.47508,153.183224,10,87,6.79,,2
2019-09-19T18:59:30Z,-27.47508,153.183224,10,88,6.82,,2
2019-09-19T18:59:32Z,-27.475114,153.183252,10,88,6.82,,2
2019-09-19T18:59:34Z,-27.475155,153.183272,10,88,6.82,,2
2019-09-19T18:59:36Z,-27.475196,153.183289,10,88,6.82,,2
2019-09-19T18:59:38Z,-27.47524,153.183305,10,88,6.82,,2
2019-09-19T18:59:40Z,-27.47524,153.183305,10,89,6.82,,2
2019-09-19T18:59:42Z,-27.475281,153.183311,10,89,6.81,,2
2019-09-19T18:59:44Z,-27.475319,153.183308,10,89,6.81,,2
2019-09-19T18:59:46Z,-27.475354,153.183301,10,89,6.81,,2
2019-09-19T18:59:48Z,-27.475393,153.183285,10,89,6.8,,2
2019-09-19T18:59:50Z,-27.475393,153.183285,10,90,6.8,,2
2019-09-19T18:59:52Z,-27.475428,153.183252,10,90,6.8,,2
2019-09-19T18:59:54Z,-27.475453,153.183205,10,90,6.8,,2
2019-09-19T18:59:56Z,-27.475468,153.183151,10,90,6.8,,2
2019-09-19T18:59:58Z,-27.475468,153.183151,10,90,6.8,,2
2019-09-19T19:00:00Z,-27.475483,153.183098,10,90,6.83,,2
2019-09-19T19:00:02Z,-27.475508,153.183055,10,90,6.83,,2
2019-09-19T19:00:04Z,-27.475542,153.183027,10,90,6.83,,2
2019-09-19T19:00:06Z,-27.475586,153.183007,10,90,6.83,,2
2019-09-19T19:00:08Z,-27.475586,153.183007,10,89,6.91,,2
2019-09-19T19:00:10Z,-27.475631,153.182997,9,90,6.91,,2
2019-09-19T19:00:12Z,-27.47567,153.182992,9,89,6.91,,2
2019-09-19T19:00:14Z,-27.47571,153.182987,9,89,6.92,,2
2019-09-19T19:00:16Z,-27.47571,153.182987,9,89,6.92,,2
2019-09-19T19:00:18Z,-27.475748,153.182981,9,89,6.92,,2
2019-09-19T19:00:20Z,-27.475788,153.182971,9,89,6.88,,2
2019-09-19T19:00:22Z,-27.475829,153.182963,9,89,6.88,,2
2019-09-19T19:00:24Z,-27.475872,153.182951,9,90,6.88,,2
2019-09-19T19:00:26Z,-27.475872,153.182951,9,90,6.85,,2
2019-09-19T19:00:28Z,-27.475917,153.182936,9,90,6.85,,2
2019-09-19T19:00:30Z,-27.47596,153.18292,10,90,6.85,,2
2019-09-19T19:00:32Z,-27.476001,153.182908,10,90,7.28,,2
2019-09-19T19:00:34Z,-27.476041,153.182899,10,90,7.14,,2
2019-09-19T19:00:36Z,-27.476041,153.182899,10,90,7.05,,2
2019-09-19T19:00:38Z,-27.476082,153.182893,10,89,6.98,,2
2019-09-19T19:00:40Z,-27.476124,153.182886,10,89,6.82,,2
