Time,Latitude (Deg),Longitude (Deg),Altitude (m),Heart Rate (bpm),Speed (km/h),Vibrations
2019-09-14T06:44:43Z,,,,,,
2019-09-14T06:44:44Z,,,1,108,,
2019-09-14T06:44:46Z,,,1,116,,
2019-09-14T06:44:48Z,,,1,128,,
2019-09-14T06:44:50Z,,,1,132,,
2019-09-14T06:44:52Z,,,1,140,,
2019-09-14T06:44:54Z,,,1,148,9.43,
2019-09-14T06:44:56Z,-27.471411,153.186558,1,152,9.43,
2019-09-14T06:44:58Z,-27.471421,153.186539,1,160,9.43,
2019-09-14T06:45:00Z,-27.471468,153.186515,1,165,9.43,
2019-09-14T06:45:02Z,-27.471504,153.186492,1,165,14.71,
2019-09-14T06:45:04Z,-27.471545,153.186464,1,167,17.700001,
2019-09-14T06:45:06Z,-27.471644,153.186433,1,164,18.26,
2019-09-14T06:45:08Z,-27.471751,153.186444,1,164,18.969999,
2019-09-14T06:45:10Z,-27.471806,153.18645,1,163,19.52,
2019-09-14T06:45:12Z,-27.471923,153.186454,2,163,20.780001,
2019-09-14T06:45:14Z,-27.471982,153.186453,2,165,20.23,
2019-09-14T06:45:16Z,-27.472108,153.186445,2,166,18.93,
2019-09-14T06:45:18Z,-27.472226,153.186432,2,168,20.35,
2019-09-14T06:45:20Z,-27.472285,153.186427,2,169,22.959999,
2019-09-14T06:45:22Z,-27.472413,153.186413,2,171,22.940001,
2019-09-14T06:45:24Z,-27.472579,153.186396,2,172,22.27,
2019-09-14T06:45:26Z,-27.472652,153.18639,2,172,22.040001,
2019-09-14T06:45:28Z,-27.472794,153.186398,2,173,26.18,
2019-09-14T06:45:30Z,-27.472865,153.186413,2,174,23.5,
2019-09-14T06:45:32Z,-27.473022,153.186455,2,175,21.290001,
2019-09-14T06:45:34Z,-27.473091,153.186477,2,174,25.68,
2019-09-14T06:45:36Z,-27.473198,153.186523,2,173,23.25,
2019-09-14T06:45:38Z,-27.47334,153.186599,2,173,22.889999,
2019-09-14T06:45:40Z,-27.47344,153.18666,2,173,23.24,
2019-09-14T06:45:42Z,-27.473539,153.186726,3,172,22.67,
2019-09-14T06:45:44Z,-27.473625,153.186813,3,170,22.450001,
2019-09-14T06:45:46Z,-27.473684,153.186922,3,167,22.67,
2019-09-14T06:45:48Z,-27.473719,153.187043,3,166,22.49,
2019-09-14T06:45:50Z,-27.473747,153.187167,3,164,22.450001,
2019-09-14T06:45:52Z,-27.473782,153.187288,3,164,22.48,
2019-09-14T06:45:54Z,-27.473828,153.187402,3,165,21.59,
2019-09-14T06:45:56Z,-27.473884,153.187512,2,164,18.309999,
2019-09-14T06:45:58Z,-27.473914,153.187604,2,164,20.4,
2019-09-14T06:46:00Z,-27.47393,153.187698,2,164,22.290001,
2019-09-14T06:46:02Z,-27.473996,153.187887,2,155,25.540001,
2019-09-14T06:46:04Z,-27.474021,153.187956,2,156,25.01,
2019-09-14T06:46:06Z,-27.474033,153.188102,2,156,22.43,
2019-09-14T06:46:08Z,-27.47401,153.188236,2,155,22.34,
2019-09-14T06:46:10Z,-27.473989,153.188356,2,155,17.43,
2019-09-14T06:46:12Z,-27.473952,153.188462,1,155,20.09,
2019-09-14T06:46:14Z,-27.473884,153.188497,1,151,21.6,
2019-09-14T06:46:16Z,-27.47378,153.188512,2,147,22.549999,
2019-09-14T06:46:18Z,-27.473653,153.188518,2,139,24.030001,
2019-09-14T06:46:20Z,-27.473534,153.188526,2,132,24.83,
2019-09-14T06:46:22Z,-27.473412,153.188545,2,132,24.26,
2019-09-14T06:46:24Z,-27.473288,153.188548,2,132,23.93,
2019-09-14T06:46:26Z,-27.473168,153.188556,1,132,24.559999,
2019-09-14T06:46:28Z,-27.473051,153.18858,1,132,26.57,
2019-09-14T06:46:30Z,-27.472931,153.188618,1,132,21.139999,
