Time,Latitude (Deg),Longitude (Deg),Altitude (m),Heart Rate (bpm),Speed (km/h),Vibrations,Route Num
2019-09-16T20:20:29Z,,,,,,,4
2019-09-16T20:20:30Z,,,,96,6.54,,4
2019-09-16T20:20:32Z,-27.716119,152.465098,,95,6.54,,4
2019-09-16T20:20:34Z,-27.716119,152.465098,160,95,6.54,,4
2019-09-16T20:20:36Z,-27.716116,152.465079,160,96,6.88,,4
2019-09-16T20:20:38Z,-27.716117,152.465048,160,98,8.58,,4
2019-09-16T20:20:40Z,-27.716121,152.465001,160,98,9.6,,4
2019-09-16T20:20:42Z,-27.716129,152.464943,159,98,11.43,,4
2019-09-16T20:20:44Z,-27.716144,152.464879,159,101,12.2,,4
2019-09-16T20:20:46Z,-27.716163,152.464814,159,103,12.65,,4
2019-09-16T20:20:48Z,-27.716186,152.464747,159,104,13.04,,4
2019-09-16T20:20:50Z,-27.716213,152.46468,159,106,13.13,,4
2019-09-16T20:20:52Z,-27.716242,152.464614,159,109,13.07,,4
2019-09-16T20:20:54Z,-27.716272,152.464549,159,109,12.88,,4
2019-09-16T20:20:56Z,-27.716303,152.464486,159,109,12.66,,4
2019-09-16T20:20:58Z,-27.716334,152.464425,158,111,12.45,,4
2019-09-16T20:21:00Z,-27.716362,152.464365,158,111,12.19,,4
2019-09-16T20:21:02Z,-27.716381,152.464305,157,111,11.92,,4
2019-09-16T20:21:04Z,-27.716385,152.464248,157,111,11.76,,4
2019-09-16T20:21:06Z,-27.716358,152.464206,157,111,11.72,,4
2019-09-16T20:21:08Z,-27.7163,152.464188,156,114,11.88,,4
2019-09-16T20:21:10Z,-27.716231,152.464197,156,115,11.91,,4
2019-09-16T20:21:12Z,-27.716177,152.464211,155,116,11.91,,4
2019-09-16T20:21:14Z,-27.716144,152.464225,155,117,11.91,,4
2019-09-16T20:21:16Z,-27.716113,152.464248,155,119,11.62,,4
2019-09-16T20:21:18Z,-27.716076,152.464276,155,121,11.38,,4
2019-09-16T20:21:20Z,-27.716034,152.464307,155,121,10.86,,4
2019-09-16T20:21:22Z,-27.71599,152.464341,155,121,10.72,,4
2019-09-16T20:21:24Z,-27.715946,152.464378,155,121,10.56,,4
2019-09-16T20:21:26Z,-27.715903,152.464414,155,121,10.55,,4
2019-09-16T20:21:28Z,-27.715859,152.464449,155,121,10.54,,4
2019-09-16T20:21:30Z,-27.715812,152.464478,155,121,10.54,,4
2019-09-16T20:21:32Z,-27.715763,152.4645,155,120,10.54,,4
2019-09-16T20:21:34Z,-27.715711,152.464516,155,120,10.55,,4
2019-09-16T20:21:36Z,-27.715655,152.46453,155,120,10.55,,4
2019-09-16T20:21:38Z,-27.715596,152.464543,155,120,10.6,,4
2019-09-16T20:21:40Z,-27.715536,152.464557,155,121,10.6,,4
2019-09-16T20:21:42Z,-27.715481,152.464576,154,123,10.6,,4
2019-09-16T20:21:44Z,-27.715429,152.464596,154,123,10.65,,4
2019-09-16T20:21:46Z,-27.715382,152.464615,154,124,10.65,,4
2019-09-16T20:21:48Z,-27.715334,152.464637,154,124,10.64,,4
2019-09-16T20:21:50Z,-27.71528,152.464656,154,125,10.64,,4
2019-09-16T20:21:52Z,-27.715225,152.464672,154,125,10.64,,4
2019-09-16T20:21:54Z,-27.715169,152.464684,154,125,10.61,,4
2019-09-16T20:21:56Z,-27.715113,152.464694,154,126,10.61,,4
2019-09-16T20:21:58Z,-27.715057,152.464704,153,126,10.59,,4
2019-09-16T20:22:00Z,-27.715003,152.46472,153,126,10.62,,4
2019-09-16T20:22:02Z,-27.714952,152.464748,152,127,10.94,,4
2019-09-16T20:22:04Z,-27.714913,152.46479,152,127,10.98,,4
2019-09-16T20:22:06Z,-27.714889,152.464844,152,129,11.02,,4
2019-09-16T20:22:08Z,-27.714877,152.464903,151,129,11.02,,4
2019-09-16T20:22:10Z,-27.714871,152.464963,151,129,11.01,,4
2019-09-16T20:22:12Z,-27.714867,152.465022,151,129,11.01,,4
2019-09-16T20:22:14Z,-27.714865,152.46508,151,129,11.01,,4
2019-09-16T20:22:16Z,-27.714865,152.465137,151,129,10.97,,4
2019-09-16T20:22:18Z,-27.714868,152.46519,151,129,10.97,,4
2019-09-16T20:22:20Z,-27.714876,152.465238,151,129,10.8,,4
2019-09-16T20:22:22Z,-27.714897,152.465286,151,129,10.8,,4
2019-09-16T20:22:24Z,-27.714924,152.465338,151,129,10.8,,4
2019-09-16T20:22:26Z,-27.714949,152.465393,151,129,10.69,,4
2019-09-16T20:22:28Z,-27.714964,152.465447,151,130,10.69,,4
2019-09-16T20:22:30Z,-27.714969,152.4655,151,130,10.61,,4
2019-09-16T20:22:32Z,-27.714966,152.465555,150,130,10.61,,4
2019-09-16T20:22:34Z,-27.714961,152.46561,150,130,10.61,,4
2019-09-16T20:22:36Z,-27.714962,152.465668,150,130,10.61,,4
2019-09-16T20:22:38Z,-27.714962,152.465725,150,130,10.61,,4
2019-09-16T20:22:40Z,-27.714955,152.46578,150,130,10.38,,4
2019-09-16T20:22:42Z,-27.714944,152.465834,150,130,10.32,,4
2019-09-16T20:22:44Z,-27.714937,152.465888,150,130,10.24,,4
2019-09-16T20:22:46Z,-27.714937,152.465942,150,130,10.21,,4
2019-09-16T20:22:48Z,-27.714946,152.465994,150,130,10.13,,4
2019-09-16T20:22:50Z,-27.714948,152.46604,150,130,10.13,,4
2019-09-16T20:22:52Z,-27.714932,152.466075,149,129,10.13,,4
2019-09-16T20:22:54Z,-27.7149,152.466098,149,129,10,,4
2019-09-16T20:22:56Z,-27.714856,152.466111,149,129,10,,4
2019-09-16T20:22:58Z,-27.714807,152.466124,148,130,9.89,,4
2019-09-16T20:23:00Z,-27.71476,152.466139,148,131,9.89,,4
2019-09-16T20:23:02Z,-27.714713,152.466153,146,131,9.89,,4
2019-09-16T20:23:04Z,-27.714663,152.466167,146,132,9.94,,4
2019-09-16T20:23:06Z,-27.71461,152.466185,146,133,9.94,,4
2019-09-16T20:23:08Z,-27.714562,152.466207,144,133,10.1,,4
2019-09-16T20:23:10Z,-27.714518,152.466228,144,132,10.1,,4
2019-09-16T20:23:12Z,-27.714477,152.46625,142,133,10.1,,4
2019-09-16T20:23:14Z,-27.714433,152.466274,142,133,11.37,,4
2019-09-16T20:23:16Z,-27.714384,152.466297,142,133,11.37,,4
2019-09-16T20:23:18Z,-27.714333,152.466323,141,133,11.39,,4
2019-09-16T20:23:20Z,-27.714282,152.466356,141,132,11.39,,4
2019-09-16T20:23:22Z,-27.714233,152.466392,140,132,11.39,,4
2019-09-16T20:23:24Z,-27.714186,152.466431,140,133,10.97,,4
2019-09-16T20:23:26Z,-27.71414,152.466471,140,133,10.97,,4
2019-09-16T20:23:28Z,-27.714095,152.466512,139,134,10.65,,4
