Time,Latitude (Deg),Longitude (Deg),Altitude (m),Heart Rate (bpm),Speed (km/h),Vibrations
2019-09-20T22:42:42Z,,,,,,
2019-09-20T22:42:43Z,,,7,136,,
2019-09-20T22:42:45Z,,,7,137,,
2019-09-20T22:42:47Z,,,7,137,11.84,
2019-09-20T22:42:49Z,-27.489489,153.032813,7,137,11.84,
2019-09-20T22:42:51Z,-27.489484,153.03281,7,143,11.84,
2019-09-20T22:42:53Z,-27.489461,153.032804,7,147,11.84,
2019-09-20T22:42:55Z,-27.489414,153.032795,8,145,13.21,
2019-09-20T22:42:57Z,-27.489344,153.032777,8,145,13.22,
2019-09-20T22:42:59Z,-27.489276,153.032759,8,145,16.35,
2019-09-20T22:43:01Z,-27.489207,153.032745,9,145,17.110001,
2019-09-20T22:43:03Z,-27.489124,153.032733,9,145,17.17,
2019-09-20T22:43:05Z,-27.489039,153.032723,9,145,17.610001,
2019-09-20T22:43:07Z,-27.488953,153.032711,9,146,17.639999,
2019-09-20T22:43:09Z,-27.488866,153.032694,9,147,17.82,
2019-09-20T22:43:11Z,-27.488782,153.032669,10,147,18.290001,
2019-09-20T22:43:13Z,-27.488695,153.032643,10,147,17.299999,
2019-09-20T22:43:15Z,-27.488607,153.032616,10,148,20.48,
2019-09-20T22:43:17Z,-27.488518,153.032586,10,148,19.25,
2019-09-20T22:43:19Z,-27.488425,153.032541,10,152,18.82,
2019-09-20T22:43:21Z,-27.488337,153.032505,11,149,17.91,
2019-09-20T22:43:23Z,-27.488248,153.032466,11,149,21.540001,
2019-09-20T22:43:25Z,-27.48816,153.032426,11,145,21.4,
2019-09-20T22:43:27Z,-27.488055,153.032396,11,141,21.950001,
2019-09-20T22:43:29Z,-27.487949,153.032383,11,139,22.139999,
2019-09-20T22:43:31Z,-27.487829,153.032331,11,138,21.43,
2019-09-20T22:43:33Z,-27.487743,153.032251,11,138,22.02,
2019-09-20T22:43:35Z,-27.487662,153.032198,11,140,20.85,
2019-09-20T22:43:37Z,-27.487554,153.032142,11,140,23.620001,
2019-09-20T22:43:39Z,-27.487466,153.032105,11,140,24.52,
2019-09-20T22:43:41Z,-27.487333,153.032055,9,144,28.26,
2019-09-20T22:43:43Z,-27.487214,153.03201,9,148,29.58,
2019-09-20T22:43:45Z,-27.487076,153.031948,8,152,26.690001,
2019-09-20T22:43:47Z,-27.486939,153.031885,8,157,29.02,
2019-09-20T22:43:49Z,-27.486814,153.031823,8,157,27.18,
2019-09-20T22:43:51Z,-27.48669,153.03174,8,157,24.76,
2019-09-20T22:43:53Z,-27.486579,153.031664,8,157,23.120001,
2019-09-20T22:43:55Z,-27.486476,153.031595,8,157,20.459999,
2019-09-20T22:43:57Z,-27.486381,153.031531,8,158,18.07,
2019-09-20T22:43:59Z,-27.486303,153.031504,8,163,16.360001,
2019-09-20T22:44:01Z,-27.486217,153.031512,9,169,16.360001,
2019-09-20T22:44:03Z,,,9,173,16.360001,
2019-09-20T22:44:05Z,-27.486064,153.031565,9,181,18.200001,
2019-09-20T22:44:07Z,-27.486064,153.031565,9,181,21.370001,
2019-09-20T22:44:09Z,-27.4859,153.031613,9,181,25.26,
2019-09-20T22:44:11Z,-27.485768,153.031651,8,182,22.75,
2019-09-20T22:44:13Z,-27.485624,153.03169,8,182,25.360001,
2019-09-20T22:44:15Z,-27.485516,153.031685,8,179,30.860001,
2019-09-20T22:44:17Z,-27.485386,153.031619,8,176,30.27,
2019-09-20T22:44:19Z,-27.485239,153.031547,8,176,25.030001,
2019-09-20T22:44:21Z,-27.485097,153.031507,8,174,19.950001,
2019-09-20T22:44:23Z,-27.484987,153.031478,8,175,17.9,
2019-09-20T22:44:25Z,-27.484914,153.031449,9,176,15.18,
2019-09-20T22:44:27Z,-27.484852,153.031391,9,176,16.360001,
2019-09-20T22:44:29Z,-27.484812,153.03132,9,176,17.43,
2019-09-20T22:44:31Z,-27.484779,153.031234,9,176,17.91,
2019-09-20T22:44:33Z,-27.484747,153.031145,9,176,22.32,
2019-09-20T22:44:35Z,-27.48471,153.031047,9,175,25.860001,
2019-09-20T22:44:37Z,-27.484655,153.030906,9,175,25.719999,
2019-09-20T22:44:39Z,-27.484597,153.030772,9,175,23.879999,
2019-09-20T22:44:41Z,-27.484494,153.030677,9,175,24.24,
2019-09-20T22:44:43Z,-27.484374,153.030679,9,175,25.67,
2019-09-20T22:44:45Z,-27.484259,153.030747,8,175,26.059999,
2019-09-20T22:44:47Z,-27.484156,153.030832,8,175,23.370001,
2019-09-20T22:44:49Z,-27.484072,153.03094,8,176,16.68,
2019-09-20T22:44:51Z,-27.483998,153.031028,8,176,13.97,
2019-09-20T22:44:53Z,-27.483945,153.031053,8,176,25.18,
2019-09-20T22:44:55Z,-27.483869,153.031064,7,176,26.59,
2019-09-20T22:44:57Z,-27.483707,153.03104,7,176,23.52,
2019-09-20T22:44:59Z,-27.483593,153.030994,7,175,20.540001,
2019-09-20T22:45:01Z,-27.483495,153.03093,7,175,20.32,
2019-09-20T22:45:03Z,-27.483418,153.030895,7,175,20.540001,
2019-09-20T22:45:05Z,-27.483334,153.030853,7,175,20.540001,
2019-09-20T22:45:07Z,-27.483241,153.030805,7,174,24.620001,
2019-09-20T22:45:09Z,-27.483083,153.030683,7,171,27.17,
2019-09-20T22:45:11Z,-27.483032,153.030634,4,171,28.5,
2019-09-20T22:45:13Z,-27.48293,153.030533,4,171,25.379999,
2019-09-20T22:45:15Z,-27.482821,153.030443,3,174,19.360001,
2019-09-20T22:45:17Z,-27.482711,153.030396,3,173,14.32,
2019-09-20T22:45:19Z,-27.482639,153.030383,3,173,10.94,
2019-09-20T22:45:21Z,-27.482581,153.030368,1,173,10.32,
2019-09-20T22:45:23Z,-27.48254,153.030335,1,172,11.15,
2019-09-20T22:45:25Z,-27.482525,153.030298,0,172,11.52,
2019-09-20T22:45:27Z,-27.482515,153.030218,0,171,11.83,
2019-09-20T22:45:29Z,-27.482516,153.030151,0,171,11.74,
2019-09-20T22:45:31Z,-27.482505,153.030086,-1,169,14.86,
2019-09-20T22:45:33Z,-27.482461,153.030035,-1,168,16,
2019-09-20T22:45:35Z,-27.482398,153.029985,-2,168,18.27,
2019-09-20T22:45:37Z,-27.482349,153.02991,-2,165,20.23,
2019-09-20T22:45:39Z,-27.482327,153.029806,-2,161,20.370001,
2019-09-20T22:45:41Z,-27.482322,153.029691,-2,161,18.629999,
2019-09-20T22:45:43Z,-27.482314,153.029581,-2,162,19.629999,
2019-09-20T22:45:45Z,-27.482304,153.029476,-3,162,20.07,
2019-09-20T22:45:47Z,-27.482297,153.029365,-3,161,20.77,
2019-09-20T22:45:49Z,-27.482287,153.029251,-3,158,20.530001,
2019-09-20T22:45:51Z,-27.482273,153.029136,-3,157,20.67,
2019-09-20T22:45:53Z,-27.482258,153.029022,-3,157,20.1,
2019-09-20T22:45:55Z,-27.482242,153.028905,-3,157,22.120001,
2019-09-20T22:45:57Z,-27.482223,153.02879,-3,157,21.68,
2019-09-20T22:45:59Z,-27.482193,153.028646,-3,157,20.75,
2019-09-20T22:46:01Z,-27.482161,153.02853,-3,157,18.67,
2019-09-20T22:46:03Z,-27.482142,153.028441,-3,157,18.129999,
2019-09-20T22:46:05Z,-27.482139,153.028338,-3,157,17.76,
2019-09-20T22:46:07Z,-27.482141,153.028243,-3,157,19.139999,
2019-09-20T22:46:09Z,-27.482137,153.02814,-3,157,18.58,
2019-09-20T22:46:11Z,-27.482122,153.028032,-3,156,19.540001,
2019-09-20T22:46:13Z,-27.482107,153.027926,-3,156,18.209999,
2019-09-20T22:46:15Z,-27.482099,153.027816,-2,157,19.860001,
2019-09-20T22:46:17Z,-27.482099,153.02771,-2,157,17.379999,
2019-09-20T22:46:19Z,-27.482107,153.0276,-2,156,18.469999,
2019-09-20T22:46:21Z,-27.482121,153.027501,-2,156,18.02,
2019-09-20T22:46:23Z,-27.482147,153.027402,-2,155,17.540001,
2019-09-20T22:46:25Z,-27.482185,153.027309,-1,154,13.46,
2019-09-20T22:46:27Z,-27.482226,153.027231,-1,154,14.6,
2019-09-20T22:46:29Z,-27.482268,153.027173,-1,154,13.27,
2019-09-20T22:46:31Z,-27.482312,153.027112,0,149,16.48,
2019-09-20T22:46:33Z,-27.482358,153.027052,0,145,15.68,
2019-09-20T22:46:35Z,-27.482404,153.026975,0,137,15.31,
2019-09-20T22:46:37Z,-27.482418,153.026891,0,137,17.969999,
2019-09-20T22:46:39Z,-27.482404,153.026802,0,137,21.52,
2019-09-20T22:46:41Z,-27.482403,153.026694,0,137,28.67,
2019-09-20T22:46:43Z,-27.482434,153.026568,0,137,25.91,
2019-09-20T22:46:45Z,-27.482505,153.026392,0,137,20.77,
2019-09-20T22:46:47Z,-27.48256,153.026282,0,136,19.32,
2019-09-20T22:46:49Z,-27.482599,153.026203,0,136,17.719999,
2019-09-20T22:46:51Z,-27.482647,153.026116,0,136,17.209999,
2019-09-20T22:46:53Z,-27.482671,153.026022,0,138,18.809999,
2019-09-20T22:46:55Z,-27.482661,153.025924,0,135,21.52,
2019-09-20T22:46:57Z,-27.482612,153.025828,0,135,22.309999,
2019-09-20T22:46:59Z,-27.482538,153.025736,0,134,20.43,
2019-09-20T22:47:01Z,-27.482444,153.025633,0,133,17.940001,
2019-09-20T22:47:03Z,-27.482392,153.025566,0,133,16.299999,
2019-09-20T22:47:05Z,-27.48234,153.025492,0,133,18.17,
2019-09-20T22:47:07Z,-27.482289,153.025418,0,131,15.99,
